EDEN Station Name	UTM E Zone 17N (m NAD83)	UTM N Zone 17N (m NAD83)	Location Area	Vertical Datum for Water Level Data	Vertical Conversion at Gage (ft) (NGVD29 to NAVD88)
S11C_H	553950.85712	2901225.21382	Water Conservation Area 2A	NGVD29	-1.48
S12A_T	517941.19781	2849281.22984	Everglades National Park	NGVD29	-1.51
S12A_H	517940.03417	2849363.57371	Tamiami Canal	NGVD29	-1.51
S12B_T	523113.30359	2849299.58988	Everglades National Park	NGVD29	-1.51
S12B_H	523115.61914	2849372.19438	Tamiami Canal	NGVD29	-1.51
S12C_T	527381.62705	2849310.26192	Everglades National Park	NGVD29	-1.51
S12C_H	527382.65301	2849386.19916	Tamiami Canal	NGVD29	-1.51
S12D_T	531907.94172	2849325.47991	Everglades National Park	NGVD29	-1.52
S12D_H	531912.89570	2849401.65809	Tamiami Canal	NGVD29	-1.52
S140_H	517207.40416	2894700.00838	L28 Canal	NAVD88	-1.45
S140_T	517275.03363	2894702.87374	Water Conservation Area 3A	NAVD88	-1.45
S141_H	555755.44005	2892486.86403	Water Conservation Area 2B	NAVD88	-1.57
S141_T	555712.98999	2892496.30599	L38E Canal	NAVD88	-1.57
S142_H	555326.92522	2893522.65096	Water Conservation Area 3A	NAVD88	-1.48
S142_T	555489.71330	2893542.97900	L38E Canal	NAVD88	-1.48
S143_T	555136.92483	2895305.44465	L38E Canal	NAVD88	-1.49
S144_H	560158.67736	2900008.91153	Water Conservation Area 2A	NAVD88	-1.48
S144_T	560164.60109	2899975.54116	Water Conservation Area 2B	NAVD88	-1.48
S145_H	563348.90881	2900416.90143	Water Conservation Area 2A	NAVD88	-1.48
S145_T	563352.07343	2900385.74761	Water Conservation Area 2B	NAVD88	-1.48
S146_H	566576.24289	2900838.88666	Water Conservation Area 2A	NAVD88	-1.48
S146_T	566581.41330	2900799.44248	Water Conservation Area 2B	NAVD88	-1.48
S150_T	545964.12248	2912820.62760	Water Conservation Area 3A	NAVD88	-1.46
S151_H	549024.27547	2877054.84524	Miami Canal	NAVD88	-1.54
S151_T	549066.07289	2877020.91845	Miami Canal	NAVD88	-1.54
S175_H	542862.35760	2811294.50867	L31W Canal	NAVD88	-1.56
S175_T	542863.83141	2811249.80461	L31W Canal	NAVD88	-1.56
S18C_T	547801.27152	2800571.61853	C111 Canal	NGVD29	-1.56
S190_H	503190.12353	2907144.68018	North Feeder Canal	NAVD88	-1.57
S190_T	503213.05499	2907051.93548	L28 Interceptor Canal	NAVD88	-1.57
S31_H	556014.00336	2869447.14282	Miami Canal	NAVD88	-1.55
S332_T	541179.99961	2811722.30010	Everglades National Park	NAVD88	-1.55
S332B_T	544138.75758	2825874.61312	Everglades National Park	NAVD88	-1.58
S332D_T	543818.91481	2818498.42812	L31W Canal	NAVD88	-1.54
S333_H	532668.14889	2849372.81589	Tamiami Canal	NAVD88	-1.54
S333_T	532774.07287	2849335.34986	Tamiami Canal	NAVD88	-1.54
S334_H	549864.36672	2849342.30628	Tamiami Canal	NAVD88	-1.56
S334_T	549992.44677	2849340.37219	Tamiami Canal	NAVD88	-1.56
S335_H	551839.50017	2851000.69226	L30 Canal	NAVD88	-1.56
S335_T	551832.11356	2850930.55532	L30 Canal	NAVD88	-1.56
S336_H	550405.96952	2849339.79888	Tamiami Canal	NAVD88	-1.56
S336_T	550486.99019	2849335.27271	Tamiami Canal	NAVD88	-1.56
S337_T	555970.78070	2869350.63460	L30 Canal	NAVD88	-1.43
S339_H	530880.37859	2899828.62300	Miami Canal	NAVD88	-1.45
S339_T	530927.83773	2899756.02312	Miami Canal	NAVD88	-1.45
S34_H	555714.49958	2892479.60455	L38E Canal	NAVD88	-1.50
S340_H	538669.80433	2888945.87216	Miami Canal	NAVD88	-1.34
S340_T	538735.43615	2888851.65005	Miami Canal	NAVD88	-1.34
S343A_H	514522.21765	2852358.68600	Water Conservation Area 3A	NAVD88	-1.54
S343A_T	514478.45889	2852324.33703	L28 Canal	NAVD88	-1.54
S343B_H	515652.04864	2851135.29455	Water Conservation Area 3A	NAVD88	-1.53
S343B_T	515620.34707	2851104.98603	L28 Canal	NAVD88	-1.53
S344_H	516395.17716	2866714.37923	Water Conservation Area 3A	NAVD88	-1.47
S344_T	516353.54610	2866724.15187	Big Cypress National Preserve	NAVD88	-1.47
S380_H	555313.81054	2849371.90180	Pennsuco Wetlands	NAVD88	-1.56
S39_H	570050.07333	2915284.56938	L39 Canal	NAVD88	-1.54
S7_T	546248.38179	2912887.48541	L38E Canal	NAVD88	-1.46
S8_T	522523.90343	2912387.17552	Miami Canal	NGVD29	-1.44
S9A_T	555630.46030	2882614.64951	Water Conservation Area 3B	NAVD88	-1.40
Shark_River_Below_Gunboat_Island	496303.90080	2806516.25800	Coast of Gulf of Mexico	NAVD88	-1.44
SITE_17	558813.96664	2907573.82769	Water Conservation Area 2A	NGVD29	-1.49
SITE_19	569272.03782	2907133.42743	Water Conservation Area 2A	NGVD29	-1.47
SITE_62	524865.16920	2895066.72984	Water Conservation Area 3A	NGVD29	-1.46
SITE_63	546872.50099	2896696.40280	Water Conservation Area 3A	NGVD29	-1.47
SITE_64	533109.96247	2873028.91344	Water Conservation Area 3A	NGVD29	-1.52
SITE_65	528087.22889	2855206.63528	Water Conservation Area 3A	NGVD29	-1.58
SITE_69E	541187.06000	2865412.20000	Water Conservation Area 3B	NGVD29	-1.66
SITE_7	565061.87848	2933415.38610	Water Conservation Area 1	NGVD29	-1.46
SITE_71	544405.46670	2863003.27872	Water Conservation Area 3B	NGVD29	-1.57
SITE_76	551781.67653	2876657.80880	Water Conservation Area 3B	NGVD29	-1.50
